参加枠名,ユーザー名,表示名,コメント,参加ステータス,出欠ステータス,更新日時,受付番号
一般参加枠,k-itai,k-itai,Red Hat Tech Night 2018.11.08に参加を申し込みました！,補欠,,2018年11月7日 21時34分,1426501
一般参加枠,ochibe,ochibe,Red Hat Tech Night 2018.11.08に参加を申し込みました！,補欠,,2018年11月7日 22時21分,1426574
一般参加枠,iga_kyu,iganari,,参加キャンセル,,2018年10月25日 11時21分,1402081
一般参加枠,alpakaAZ,alpakaAZ,,参加キャンセル,,2018年10月26日 17時46分,1404692
一般参加枠,msym,msym,,参加キャンセル,,2018年10月29日 14時17分,1408672
一般参加枠,ArayanAce,ArayanAce,,参加キャンセル,,2018年10月29日 17時00分,1402983
一般参加枠,T_akms,T_akms,,参加キャンセル,,2018年10月30日 18時19分,1404575
一般参加枠,wadaky,wadaky,,参加キャンセル,,2018年11月2日 08時59分,1408391
一般参加枠,henrich,henrich,,参加キャンセル,,2018年11月2日 15時11分,1402807
一般参加枠,kojiosan,kojiosan,,参加キャンセル,,2018年11月3日 12時17分,1400959
一般参加枠,ozaki-fm,ozaki-fm,,参加キャンセル,,2018年11月5日 09時35分,1412863
一般参加枠,mo272ma,mo272ma,,参加キャンセル,,2018年11月5日 09時43分,1412036
一般参加枠,toya256,Tomonari Yamashita,LT で登壇することになりましたので申込み自体はキャンセル致します,参加キャンセル,,2018年11月5日 11時42分,1401198
一般参加枠,r1jpn,r1jpn,,参加キャンセル,,2018年11月5日 13時51分,1412419
一般参加枠,mnnjpn,Mona,仕事の都合で参加できず、、、,参加キャンセル,,2018年11月5日 16時45分,1410685
一般参加枠,_a0i,_a0i,,参加キャンセル,,2018年11月5日 16時57分,1410347
一般参加枠,shun-,shun-,,参加キャンセル,,2018年11月6日 11時38分,1412678
一般参加枠,okcoder,okcoder,,参加キャンセル,,2018年11月6日 16時36分,1410756
一般参加枠,ryou_soda,ryou_soda,,参加キャンセル,,2018年11月6日 22時36分,1408652
一般参加枠,SE92415776,SE92415776,,参加キャンセル,,2018年11月6日 23時18分,1403445
一般参加枠,meijik,meijik,家庭の事情でキャンセルします。すみません。,参加キャンセル,,2018年11月7日 11時29分,1413471
一般参加枠,okaD,hiroki.okada,,参加キャンセル,,2018年11月7日 17時10分,1403689
一般参加枠,altobenz,altobenz,,参加キャンセル,,2018年11月7日 17時17分,1412098
一般参加枠,xerespm,xerespm,,参加キャンセル,,2018年11月7日 18時33分,1405832
一般参加枠,tkykm,tkykm,,参加キャンセル,,2018年11月7日 19時26分,1414535
一般参加枠,yu_menoshima,yu_menoshima,,参加キャンセル,,2018年11月7日 19時43分,1418297
一般参加枠,iogi,iogi,,参加キャンセル,,2018年11月7日 20時09分,1403423
一般参加枠,omokazuki,omokazuki,申し訳ありません、急用が入りました。,参加キャンセル,,2018年11月7日 20時43分,1403743
一般参加枠,unio48,unio48,,参加キャンセル,,2018年11月7日 20時58分,1406029
一般参加枠,naotoino,naotoino,,参加キャンセル,,2018年11月7日 22時06分,1413002
ブログ枠,mnakamur1988,中村誠,主催者,参加キャンセル,,2018年11月7日 17時03分,1417998
