参加枠名,ユーザー名,表示名,コメント,参加ステータス,出欠ステータス,更新日時,受付番号
一般参加枠,bussorenre,bussorenre,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 11時30分,1410261
一般参加枠,sonots,sonots,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 19時39分,1411232
一般参加枠,y-uemura55,y-uemura55,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 19時13分,1413026
一般参加枠,y_n_ag,y_n_ag,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 19時59分,1413088
一般参加枠,yutakatay,yutakatay,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月26日 23時36分,1405444
一般参加枠,komapotter,komapotter,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月26日 20時58分,1405208
一般参加枠,tyutat,tyutat,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月25日 09時00分,1401784
一般参加枠,ju_imamura,ju_imamura,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月29日 12時00分,1408373
一般参加枠,nobuto_m,nobuto_m,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月29日 13時57分,1408636
一般参加枠,nagashi_ma_w,nagashi_ma_w,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月26日 17時35分,1404675
一般参加枠,HiroyaYamaguchi,HiroyaYamaguchi,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月25日 01時10分,1401615
一般参加枠,kanata2003,kanata,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月27日 09時35分,1405830
一般参加枠,kawamoto00,Takuji Kawamoto,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月30日 00時19分,1409683
一般参加枠,yuri0x,yuri0x,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年11月1日 21時20分,1415876
一般参加枠,ryota_suenaga,ryota_suenaga,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月29日 10時59分,1408194
一般参加枠,y_f_alpaka,y_f_alpaka,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月26日 17時46分,1404697
一般参加枠,hayato_suzuki_771,pocky_saver,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 11時56分,1410310
一般参加枠,IsaoHaga,IsaoHaga,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 11時02分,1412117
一般参加枠,onotk,onotk,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月31日 09時08分,1411861
一般参加枠,yochizo,yochizo,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月30日 15時55分,1410683
一般参加枠,takanorisuzuki,takanorisuzuki,Red Hat Tech Night 2018.11.08に参加を申し込みました！,参加,,2018年10月29日 10時14分,1408052
一般参加枠,hnron,hnron,Red Hat Tech Night 2018.11.08 に参加を申し込みました！,参加,,2018年10月31日 12時12分,1412271
